
                                                           CODEBOOK


                                                      Election Study 2001

                                                           CONTENTS

****    General

              VALUE  LABEL
                  1  Hate
                 10  Strong sympathy

              Data type: numeric
              Record/columns: 1/47-48

      a47                Extent of support for Likud Party

              VALUE  LABEL
                  1  Hate
                 10  Strong sympathy

              Data type: numeric
              Record/columns: 1/49-50

      a48                Extent of support for orthodox people

              VALUE  LABEL
                  1  Hate
                 10  Strong sympathy

              Data type: numeric
              Record/columns: 1/51-52

      a49                Extent of support for Arafat

              VALUE  LABEL
                  1  Hate
                 10  Strong sympathy

              Data type: numeric
              Record/columns: 1/53-54

      a50                Extent of support for Ehud Barak

              VALUE  LABEL
                  1  Hate
                 10  Strong sympathy

              Data type: numeric
              Record/columns: 1/55-56

      a51                Extent of support for Binyamin Netanyahu

              VALUE  LABEL
                  1  Hate
                 10  Strong sympathy

              Data type: numeric
              Record/columns: 1/57-58

      a52                Extent of support for Shimon Peres

              VALUE  LABEL
                  1  Hate
                 10  Strong sympathy

              Data type: numeric
              Record/columns: 1/59-60

      a53                Extent of support for Arye Deri

              VALUE  LABEL
                  1  Hate
                 10  Strong sympathy

              Data type: numeric
              Record/columns: 1/61-62

      a54                Extent of support for Arabs

              VALUE  LABEL
                  1  Hate
                 10  Strong sympathy

              Data type: numeric
              Record/columns: 1/63-64

      a55                A capitalist or socialist Israeli economy

              VALUE  LABEL
                  1  Certanly capitalist
                  2  More capitalist than socialist
                  3  More socialist than capitalist
                  4  Certanly socialist

              Data type: numeric
              Record/column: 1/65

      a56                Participation of Arabs in critical decisions

              VALUE  LABEL
                  1  Certain only Jews
                  2  Only Jews
                  3  Both Jews and Arabs
                  4  Certain both Jews and Arabs

              Data type: numeric
              Record/columns: 1/66-67

      a57                The most important reason to vote for PM

              VALUE  LABEL
                  1  Personal qualities
                  2  Identification with his party
                  3  Identification with his camp
                  4  Positions on issues
                  5  In power or opposition

              Data type: numeric
              Record/columns: 1/68-69

****    Issues  that affect the vote for PM

      a58                Affect Jerusalem on PM voting

              VALUE  LABEL
                  1  Will not influence
                  2  Small influence
                  3  Some influence
                  4  Large influence

              Data type: numeric
              Record/columns: 1/70-71

      a59                Affect economy on PM voting

              VALUE  LABEL
                  1  Will not influence
                  2  Small influence
                  3  Some influence
                  4  Large influence

              Data type: numeric
              Record/column: 1/72

      a60                Affect social policy on PM voting

              VALUE  LABEL
                  1  Will not influence
                  2  Small influence
                  3  Some influence
                  4  Large influence

              Data type: numeric
              Record/column: 1/73

      a61                Affect religion and state on PM voting

              VALUE  LABEL
                  1  Will not influence
                  2  Small influence
                  3  Some influence
                  4  Large influence

              Data type: numeric
              Record/column: 1/74

      a62                Affect agreement with the Palestinians on PM voting

              VALUE  LABEL
                  1  Will not influence
                  2  Small influence
                  3  Some influence
                  4  Large influence

              Data type: numeric
              Record/column: 1/75

      a63                Affect terrorism on PM voting

              VALUE  LABEL
                  1  Will not influence
                  2  Small influence
                  3  Some influence
                  4  Large influence

              Data type: numeric
              Record/column: 1/76

      a64                Candidate most capable to deal with Israel's economic issues

              VALUE  LABEL
                  1  Sharon
                  2  Barak
                  3  Both
                  4  Neither

              Data type: numeric
              Record/column: 1/77

      a65                Candidate most capable to deal with foreign & security issues

              VALUE  LABEL
                  1  Sharon
                  2  Barak
                  3  Both
                  4  Neither

              Data type: numeric
              Record/column: 1/78

      a66                Respondent self-ranking on a right-left political scale of 1-7

              VALUE  LABEL
                  1  Right
                  7  Left

              Data type: numeric
              Record/column: 1/79

****    Difference amongst candidates' positions on following issues

      a67                Differences amongst candidate's position on: Jerusalem

              VALUE  LABEL
                  1  Very small differences
                  2  Small differences
                  3  Some differences
                  4  Great differences
                  5  Very great differences

              Data type: numeric
              Record/column: 1/80

      a68                Differences amongst candidate's position on: Economy

              VALUE  LABEL
                  1  Very small differences
                  2  Small differences
                  3  Some differences
                  4  Great differences
                  5  Very great differences

              Data type: numeric
              Record/column: 1/81

      a69                Differences amongst candidate's position on: Social policy

              VALUE  LABEL
                  1  Very small differences
                  2  Small differences
                  3  Some differences
                  4  Great differences
                  5  Very great differences

              Data type: numeric
              Record/column: 1/82

      a70                Differences amongst candidate's position on: State and religion

              VALUE  LABEL
                  1  Very small differences
                  2  Small differences
                  3  Some differences
                  4  Great differences
                  5  Very great differences

              Data type: numeric
              Record/column: 1/83

      a71                Differences amongst candidate's position on: Agreement with the Palestinians

              VALUE  LABEL
                  1  Very small differences
                  2  Small differences
                  3  Some differences
                  4  Great differences
                  5  Very great differences

              Data type: numeric
              Record/column: 1/84

      a72                Differences amongst candidate's position on: Terrorism

              VALUE  LABEL
                  1  Very small differences
                  2  Small differences
                  3  Some differences
                  4  Great differences
                  5  Very great differences

              Data type: numeric
              Record/column: 1/85

      a73                Discussing political issues with family,friends

              VALUE  LABEL
                  1  Not at all
                  2  Little
                  3  Some
                  4  Great extent

              Data type: numeric
              Record/column: 1/86

      a74                To what degree can you and your friends influence government policy?

              VALUE  LABEL
                  1  Not at all
                  2  Little
                  3  Some
                  4  Great extent

              Data type: numeric
              Record/column: 1/87

      a75                Importance of voting for a particular candidate

              VALUE  LABEL
                  1  Does not matter for whom you vote
                  5  Does matter for whom you vote

              Data type: numeric
              Record/column: 1/88

      a76                Necessity for government's ensuring public life according to Jewish religious tradition

              VALUE  LABEL
                  1  Certanly should see to it
                  2  Maybe
                  3  Should not see to it
                  4  Certanly should not see to it

              Data type: numeric
              Record/column: 1/89

****    Which candidate has the following attributes

      a77                Which candidate suits the following: Reliable

              VALUE  LABEL
                  1  Sharon
                  2  Barak
                  3  Both
                  4  Neither

              Data type: numeric
              Record/column: 1/90

      a78                Which candidate suits the following: Prefers state interest over others

              VALUE  LABEL
                  1  Sharon
                  2  Barak
                  3  Both
                  4  Neither

              Data type: numeric
              Record/column: 1/91

      a79                Which candidate suits the following: Will withstand pressure

              VALUE  LABEL
                  1  Sharon
                  2  Barak
                  3  Both
                  4  Neither

              Data type: numeric
              Record/column: 1/92

      a80                Which candidate suits the following: Will preserve the rule of law

              VALUE  LABEL
                  1  Sharon
                  2  Barak
                  3  Both
                  4  Neither

              Data type: numeric
              Record/column: 1/93

      a81                Which candidate suits the following: Can be firm in Peace and territory negotiations

              VALUE  LABEL
                  1  Sharon
                  2  Barak
                  3  Both
                  4  Neither

              Data type: numeric
              Record/column: 1/94

      a82                Which candidate suits the following: Will know how to deal with terrorism

              VALUE  LABEL
                  1  Sharon
                  2  Barak
                  3  Both
                  4  Neither

              Data type: numeric
              Record/column: 1/95

      a83                Which candidate suits the following: Can bring true peace with the Arabs

              VALUE  LABEL
                  1  Sharon
                  2  Barak
                  3  Both
                  4  Neither

              Data type: numeric
              Record/column: 1/96

      a84                Which candidate suits the following: Will decrease the split in the nation

              VALUE  LABEL
                  1  Sharon
                  2  Barak
                  3  Both
                  4  Neither

              Data type: numeric
              Record/column: 1/97

****    General political attitudes and behavior

      b6                 Willingness to give your opinion on the peace agreement to a TV journalist

              VALUE  LABEL
                  1  Definitely no
                  2  No
                  3  Not certain
                  4  Yes
                  5  Definitely

              Data type: numeric
              Record/column: 1/98

      b7                 Frequency of reading daily newspaper

              VALUE  LABEL
                  1  Never
                  2  Rarely
                  3  Once a week
                  4  Two or three a week
                  5  Almost every day
                  6  More than one every day

              Data type: numeric
              Record/column: 1/99

      b8                 Frequency of watching TV news

              VALUE  LABEL
                  1  Never
                  2  Rarely
                  3  Once a week
                  4  Two or three a week
                  5  Almost every day
                  6  More than one every day

              Data type: numeric
              Record/column: 1/100

      b9                 Follow publications of election polls

              VALUE  LABEL
                  1  Not at all
                  2  Small extent
                  3  Certain extent
                  4  Great extent

              Data type: numeric
              Record/column: 1/101

      b10                Faith in election polls

              VALUE  LABEL
                  1  Not at all
                  2  Small extent
                  3  Certain extent
                  4  Great extent

              Data type: numeric
              Record/column: 1/102

      b11                Will election ads influence your vote decision?

              VALUE  LABEL
                  0  Do not see
                  1  Not at all
                  2  Small extent
                  3  Certain extent
                  4  Great extent

              Data type: numeric
              Record/column: 1/103

      b12                Direct election for PM's impact on the government system

              VALUE  LABEL
                  1  No change
                  2  Worse
                  3  Better

              Data type: numeric
              Record/column: 1/104

      b13                Inclusion of ministers from Arab parties in government

              VALUE  LABEL
                  1  Certanly disagree
                  2  Do not agree
                  3  Agree
                  4  Certanly agree

              Data type: numeric
              Record/column: 1/105

      b14                Party respondent vote if elections for the Knesset were held today

              VALUE  LABEL
                  1  One Israel
                  2  Likud
                  3  Shas
                  4  Meretz
                  5  Mafdal
                  6  Yahadut HaTora
                  7  Peretz
                  8  Shinui
                  9  Ihud leumi
                 10  Center
                 11  Israel bealiya
                 12  Israel Beyteinu
                 13  Bronfman
                 14  Hadash
                 15  Balad
                 16  Tibi
                 17  United Arab Front
                 18  New arab
                 19  Other
                 20  Blank
